"variables","X.flg_activacion_0_12."
"xb_buro","flg_activacion_0_12"
"cl_veh_mean_st","flg_activacion_0_12"
"cat_zona1","flg_activacion_0_12"
"numproductos_pas","flg_activacion_0_12"
"numproductos_act","flg_activacion_0_12"
"numproductos","flg_activacion_0_12"
"meses_fmactivo_24_0","flg_activacion_0_12"
"meses_fmactivo_6_1000","flg_activacion_0_12"
"meses_fmpasivo_6_0","flg_activacion_0_12"
"meses_fmpasivo_12_100","flg_activacion_0_12"
"meses_fmpasivo_6_100","flg_activacion_0_12"
"meses_fmpasivo_24_1000","flg_activacion_0_12"
"meses_fmpasivo_12_1000","flg_activacion_0_12"
"meses_fmpasivo_1_1000","flg_activacion_0_12"
"meses_fmsavmf_24_0","flg_activacion_0_12"
"meses_fmsavmf_12_0","flg_activacion_0_12"
"meses_pmsavmf_12_0","flg_activacion_0_12"
"fmjud_count_24","flg_activacion_0_12"
"pmsav_min_24","flg_activacion_0_12"
"pmsav_med_24","flg_activacion_0_12"
"pmpasivo_max_24","flg_activacion_0_12"
"pmpasivo_min_24","flg_activacion_0_12"
"pmpasivo_med_24","flg_activacion_0_12"
"fmvj_count_12","flg_activacion_0_12"
"pmpasivo_min_12","flg_activacion_0_12"
"fmpasivo_min_6","flg_activacion_0_12"
"fmsav_min_6","flg_activacion_0_12"
"pmpasivo_min_6","flg_activacion_0_12"
"pmpasivo_med_6","flg_activacion_0_12"
"meses_pasivo_activo_6_100","flg_activacion_0_12"
"meses_pasivo_activo_12_1000","flg_activacion_0_12"
"meses_pasivo_activo_24_100","flg_activacion_0_12"
"meses_pasivo_activo_24_1000","flg_activacion_0_12"
"antiguedad_pas_tot","flg_activacion_0_12"
"maxantiguedad_act_pas_vig","flg_activacion_0_12"
"rt_pmpasivo_max_6_12","flg_activacion_0_12"
"rt_fmsavmf_sum_6_24","flg_activacion_0_12"
"rt_pmsav_sum_1_1","flg_activacion_0_12"
"flg_cts_1_1000","flg_activacion_0_12"
"rt_fmpasivo_max_6_6","flg_activacion_0_12"
"rt_fmpasivo_min_6_6","flg_activacion_0_12"
"rt_fm_pmpasivo_sum_6_6","flg_activacion_0_12"
"flg_cts_6_1000","flg_activacion_0_12"
"rt_pmpasivo_max_12_12","flg_activacion_0_12"
"rt_fmpasivo_min_12_12","flg_activacion_0_12"
"rt_fmsavmf_max_12_12","flg_activacion_0_12"
"rt_pmpasivo_max_24_24","flg_activacion_0_12"
"rt_pmsavmf_max_24_24","flg_activacion_0_12"
"rt_pmsavmf_min_24_24","flg_activacion_0_12"
"rt_fm_pmsavmf_sum_24_24","flg_activacion_0_12"
"rt_fmsav_sum_24_24","flg_activacion_0_12"
"flg_cts_24_1000","flg_activacion_0_12"
"tipo_cliente","flg_activacion_0_12"
"flg_activacion_0_12","flg_activacion_0_12"
